RK,Team,Total Points,Previous Points,+/-,Match window,,
1,ArgentinaARG https://api.fifa.com/api/v3/picture/flags-sq-2/ARG,1883.5,1889.02,-5.52,,,
2,FranceFRA https://api.fifa.com/api/v3/picture/flags-sq-2/FRA,1859.85,1851.92,7.93,WW,,
3,SpainESP https://api.fifa.com/api/v3/picture/flags-sq-2/ESP,1844.33,1836.42,7.91,WW,,
4,EnglandENG https://api.fifa.com/api/v3/picture/flags-sq-2/ENG,1807.83,1817.28,-9.45,WL,,
5,BrazilBRA https://api.fifa.com/api/v3/picture/flags-sq-2/BRA,1784.37,1772.02,12.35,,,
6,BelgiumBEL https://api.fifa.com/api/v3/picture/flags-sq-2/BEL,1761.27,1768.14,-6.87,LD,,
7,PortugalPOR https://api.fifa.com/api/v3/picture/flags-sq-2/POR,1752.68,1752.14,0.54,DW,,
8,NetherlandsNED https://api.fifa.com/api/v3/picture/flags-sq-2/NED,1748.24,1759.95,-11.71,LD,,
9,ItalyITA https://api.fifa.com/api/v3/picture/flags-sq-2/ITA,1729.4,1726.31,3.09,WD,,
10,ColombiaCOL https://api.fifa.com/api/v3/picture/flags-sq-2/COL,1724.37,1738.72,-14.35,,,
11,GermanyGER https://api.fifa.com/api/v3/picture/flags-sq-2/GER,1703.59,1692.19,11.4,WW,,
12,CroatiaCRO https://api.fifa.com/api/v3/picture/flags-sq-2/CRO,1701.36,1699.6,1.76,DW,,
13,MoroccoMAR https://api.fifa.com/api/v3/picture/flags-sq-2/MAR,1681.57,1676.14,5.43,WW,,
14,UruguayURU https://api.fifa.com/api/v3/picture/flags-sq-2/URU,1680.36,1701.34,-20.98,,,
15,JapanJPN https://api.fifa.com/api/v3/picture/flags-sq-2/JPN,1645.09,1639.6,5.49,DD,,
16,MexicoMEX https://api.fifa.com/api/v3/picture/flags-sq-2/MEX,1640.67,1635.66,5.01,W,,
17,SwitzerlandSUI https://api.fifa.com/api/v3/picture/flags-sq-2/SUI,1631.38,1641,-9.62,DL,,
18,USAUSA https://api.fifa.com/api/v3/picture/flags-sq-2/USA,1630.97,1632.19,-1.22,LW,,
19,IR IranIRN https://api.fifa.com/api/v3/picture/flags-sq-2/IRN,1627.58,1622.92,4.66,DD,,
20,SenegalSEN https://api.fifa.com/api/v3/picture/flags-sq-2/SEN,1627.13,1620.87,6.26,WW,,
21,DenmarkDEN https://api.fifa.com/api/v3/picture/flags-sq-2/DEN,1617.34,1621.7,-4.36,DL,,
22,Korea RepublicKOR https://api.fifa.com/api/v3/picture/flags-sq-2/KOR,1589.93,1572.61,17.32,DD,,
23,AustriaAUT https://api.fifa.com/api/v3/picture/flags-sq-2/AUT,1589.17,1580.37,8.8,WW,,
24,AustraliaAUS https://api.fifa.com/api/v3/picture/flags-sq-2/AUS,1552.77,1544.3,8.47,DD,,
25,UkraineUKR https://api.fifa.com/api/v3/picture/flags-sq-2/UKR,1552.37,1548.29,4.08,DW,,
26,TürkiyeTUR https://api.fifa.com/api/v3/picture/flags-sq-2/TUR,1548.15,1538.52,9.63,WW,,
27,EcuadorECU https://api.fifa.com/api/v3/picture/flags-sq-2/ECU,1536.32,1535.43,0.89,,,
28,SwedenSWE https://api.fifa.com/api/v3/picture/flags-sq-2/SWE,1530.41,1528.18,2.23,WD,,
29,WalesWAL https://api.fifa.com/api/v3/picture/flags-sq-2/WAL,1528.96,1526.53,2.43,WD,,
30,EgyptEGY https://api.fifa.com/api/v3/picture/flags-sq-2/EGY,1526.25,1515.64,10.61,WW,,
31,PolandPOL https://api.fifa.com/api/v3/picture/flags-sq-2/POL,1523.19,1525.08,-1.89,DL,,
32,HungaryHUN https://api.fifa.com/api/v3/picture/flags-sq-2/HUN,1519.33,1511.06,8.27,WD,,
33,SerbiaSRB https://api.fifa.com/api/v3/picture/flags-sq-2/SRB,1511.16,1505.08,6.08,LW,,
34,RussiaRUS https://api.fifa.com/api/v3/picture/flags-sq-2/RUS,1508.73,1508.73,-,,,
35,CanadaCAN https://api.fifa.com/api/v3/picture/flags-sq-2/CAN,1507.27,1502.31,4.96,W,,
36,NigeriaNGA https://api.fifa.com/api/v3/picture/flags-sq-2/NGA,1503.29,1498.02,5.27,WW,,
37,AlgeriaALG https://api.fifa.com/api/v3/picture/flags-sq-2/ALG,1496.94,1486.03,10.91,WW,,
38,PeruPER https://api.fifa.com/api/v3/picture/flags-sq-2/PER,1494.24,1483.2,11.04,,,
39,PanamaPAN https://api.fifa.com/api/v3/picture/flags-sq-2/PAN,1493.8,1502.55,-8.75,LL,,
40,Côte d'IvoireCIV https://api.fifa.com/api/v3/picture/flags-sq-2/CIV,1493.57,1509.12,-15.55,LW,,
41,SlovakiaSVK https://api.fifa.com/api/v3/picture/flags-sq-2/SVK,1489.88,1485.89,3.99,WD,,
42,GreeceGRE https://api.fifa.com/api/v3/picture/flags-sq-2/GRE,1487.42,1469.18,18.24,WW,,
43,RomaniaROU https://api.fifa.com/api/v3/picture/flags-sq-2/ROU,1487.22,1481.4,5.82,WW,,
44,VenezuelaVEN https://api.fifa.com/api/v3/picture/flags-sq-2/VEN,1482.47,1488.56,-6.09,,,
45,CzechiaCZE https://api.fifa.com/api/v3/picture/flags-sq-2/CZE,1480.39,1473.19,7.2,DW,,
46,QatarQAT https://api.fifa.com/api/v3/picture/flags-sq-2/QAT,1478.6,1481.69,-3.09,DD,,
47,TunisiaTUN https://api.fifa.com/api/v3/picture/flags-sq-2/TUN,1478.52,1504.86,-26.34,DL,,
48,NorwayNOR https://api.fifa.com/api/v3/picture/flags-sq-2/NOR,1473.5,1472.16,1.34,LW,,
49,CameroonCMR https://api.fifa.com/api/v3/picture/flags-sq-2/CMR,1472.12,1458.51,13.61,WW,,
50,Costa RicaCRC https://api.fifa.com/api/v3/picture/flags-sq-2/CRC,1465.57,1466.08,-0.51,WD,,
51,ScotlandSCO https://api.fifa.com/api/v3/picture/flags-sq-2/SCO,1461.34,1461.75,-0.41,DL,,
52,SloveniaSVN https://api.fifa.com/api/v3/picture/flags-sq-2/SVN,1459.59,1462.98,-3.39,WL,,
53,ChileCHI https://api.fifa.com/api/v3/picture/flags-sq-2/CHI,1455.22,1467.98,-12.76,,,
54,MaliMLI https://api.fifa.com/api/v3/picture/flags-sq-2/MLI,1454.84,1455.16,-0.32,DW,,
55,ParaguayPAR https://api.fifa.com/api/v3/picture/flags-sq-2/PAR,1440.78,1423.98,16.8,,,
56,IraqIRQ https://api.fifa.com/api/v3/picture/flags-sq-2/IRQ,1434.4,1435.9,-1.5,DD,,
57,Congo DRCOD https://api.fifa.com/api/v3/picture/flags-sq-2/COD,1431.3,1416.91,14.39,WW,,
58,UzbekistanUZB https://api.fifa.com/api/v3/picture/flags-sq-2/UZB,1429.26,1413.06,16.2,DD,,
59,Saudi ArabiaKSA https://api.fifa.com/api/v3/picture/flags-sq-2/KSA,1422.67,1433.16,-10.49,DD,,
60,South AfricaRSA https://api.fifa.com/api/v3/picture/flags-sq-2/RSA,1415.98,1415.07,0.91,DW,,
61,JamaicaJAM https://api.fifa.com/api/v3/picture/flags-sq-2/JAM,1405.36,1402.95,2.41,DW,,
62,Burkina FasoBFA https://api.fifa.com/api/v3/picture/flags-sq-2/BFA,1399.8,1387.5,12.3,WW,,
63,Republic of IrelandIRL https://api.fifa.com/api/v3/picture/flags-sq-2/IRL,1395.61,1394.63,0.98,LW,,
64,JordanJOR https://api.fifa.com/api/v3/picture/flags-sq-2/JOR,1380.75,1377.52,3.23,DD,,
65,AlbaniaALB https://api.fifa.com/api/v3/picture/flags-sq-2/ALB,1379.29,1377.91,1.38,WL,,
66,FinlandFIN https://api.fifa.com/api/v3/picture/flags-sq-2/FIN,1374.58,1384.36,-9.78,LL,,
67,GeorgiaGEO https://api.fifa.com/api/v3/picture/flags-sq-2/GEO,1365.56,1378.22,-12.66,LL,,
68,United Arab EmiratesUAE https://api.fifa.com/api/v3/picture/flags-sq-2/UAE,1361.34,1377.22,-15.88,DD,,
69,North MacedoniaMKD https://api.fifa.com/api/v3/picture/flags-sq-2/MKD,1361.01,1351.18,9.83,WW,,
70,IcelandISL https://api.fifa.com/api/v3/picture/flags-sq-2/ISL,1353.18,1355.75,-2.57,LD,,
71,Northern IrelandNIR https://api.fifa.com/api/v3/picture/flags-sq-2/NIR,1345.06,1339.64,5.42,WD,,
72,Cabo VerdeCPV https://api.fifa.com/api/v3/picture/flags-sq-2/CPV,1340.87,1379.17,-38.3,LL,,
73,GhanaGHA https://api.fifa.com/api/v3/picture/flags-sq-2/GHA,1338.73,1360.43,-21.7,LD,,
74,Bosnia and HerzegovinaBIH https://api.fifa.com/api/v3/picture/flags-sq-2/BIH,1324.43,1332.39,-7.96,LL,,
75,MontenegroMNE https://api.fifa.com/api/v3/picture/flags-sq-2/MNE,1323.2,1332.68,-9.48,,,
76,BahrainBHR https://api.fifa.com/api/v3/picture/flags-sq-2/BHR,1313.8,1315.49,-1.69,DD,,
77,HondurasHON https://api.fifa.com/api/v3/picture/flags-sq-2/HON,1312.66,1311.3,1.36,D,,
78,GuineaGUI https://api.fifa.com/api/v3/picture/flags-sq-2/GUI,1312.45,1298.3,14.15,WW,,
79,BoliviaBOL https://api.fifa.com/api/v3/picture/flags-sq-2/BOL,1312.36,1293.76,18.6,,,
80,OmanOMA https://api.fifa.com/api/v3/picture/flags-sq-2/OMA,1305.99,1309.27,-3.28,DD,,
81,IsraelISR https://api.fifa.com/api/v3/picture/flags-sq-2/ISR,1303.65,1307.8,-4.15,LL,,
82,AngolaANG https://api.fifa.com/api/v3/picture/flags-sq-2/ANG,1298.75,1281.09,17.66,WW,,
83,El SalvadorSLV https://api.fifa.com/api/v3/picture/flags-sq-2/SLV,1297.99,1307.04,-9.05,LW,,
84,BulgariaBUL https://api.fifa.com/api/v3/picture/flags-sq-2/BUL,1295.11,1302.68,-7.57,LD,,
85,GabonGAB https://api.fifa.com/api/v3/picture/flags-sq-2/GAB,1294.11,1292.88,1.23,WD,,
86,HaitiHAI https://api.fifa.com/api/v3/picture/flags-sq-2/HAI,1283.67,1278.56,5.11,WW,,
87,UgandaUGA https://api.fifa.com/api/v3/picture/flags-sq-2/UGA,1269.79,1257.64,12.15,WW,,
88,Equatorial GuineaEQG https://api.fifa.com/api/v3/picture/flags-sq-2/EQG,1266.68,1250.57,16.11,WW,,
89,LuxembourgLUX https://api.fifa.com/api/v3/picture/flags-sq-2/LUX,1262.08,1261.95,0.13,DD,,
90,CuraçaoCUW https://api.fifa.com/api/v3/picture/flags-sq-2/CUW,1260.87,1261.38,-0.51,,,
91,Aotearoa New ZealandNZL https://api.fifa.com/api/v3/picture/flags-sq-2/NZL,1258.11,1247.08,11.03,WW,,
92,China PRCHN https://api.fifa.com/api/v3/picture/flags-sq-2/CHN,1257.29,1253.77,3.52,DD,,
93,SyriaSYR https://api.fifa.com/api/v3/picture/flags-sq-2/SYR,1252.19,1252.91,-0.72,LW,,
94,ZambiaZAM https://api.fifa.com/api/v3/picture/flags-sq-2/ZAM,1251.84,1252.79,-0.95,WD,,
95,BeninBEN https://api.fifa.com/api/v3/picture/flags-sq-2/BEN,1250.97,1257.69,-6.72,LW,,
96,ThailandTHA https://api.fifa.com/api/v3/picture/flags-sq-2/THA,1231.75,1223.06,8.69,WW,,
97,BelarusBLR https://api.fifa.com/api/v3/picture/flags-sq-2/BLR,1231.1,1229.07,2.03,DD,,
98,MozambiqueMOZ https://api.fifa.com/api/v3/picture/flags-sq-2/MOZ,1229.01,1226.03,2.98,WD,,
99,ArmeniaARM https://api.fifa.com/api/v3/picture/flags-sq-2/ARM,1222.74,1230.43,-7.69,LD,,
100,PalestinePLE https://api.fifa.com/api/v3/picture/flags-sq-2/PLE,1218.43,1228.99,-10.56,DD,,
101,KosovoKOS https://api.fifa.com/api/v3/picture/flags-sq-2/KOS,1218.22,1205.96,12.26,WW,,
102,Trinidad and TobagoTRI https://api.fifa.com/api/v3/picture/flags-sq-2/TRI,1214.81,1213.25,1.56,WD,,
103,Kyrgyz RepublicKGZ https://api.fifa.com/api/v3/picture/flags-sq-2/KGZ,1207.08,1201.11,5.97,DD,,
104,GuatemalaGUA https://api.fifa.com/api/v3/picture/flags-sq-2/GUA,1201.35,1200.43,0.92,LW,,
105,TajikistanTJK https://api.fifa.com/api/v3/picture/flags-sq-2/TJK,1196.98,1208.01,-11.03,LL,,
106,KenyaKEN https://api.fifa.com/api/v3/picture/flags-sq-2/KEN,1195.36,1208.96,-13.6,LL,,
107,KazakhstanKAZ https://api.fifa.com/api/v3/picture/flags-sq-2/KAZ,1186.46,1193.21,-6.75,LL,,
108,ComorosCOM https://api.fifa.com/api/v3/picture/flags-sq-2/COM,1185.98,1159.64,26.34,DW,,
109,MadagascarMAD https://api.fifa.com/api/v3/picture/flags-sq-2/MAD,1180,1196.56,-16.56,LD,,
110,SudanSDN https://api.fifa.com/api/v3/picture/flags-sq-2/SDN,1176.2,1154.5,21.7,WD,,
111,Korea DPRPRK https://api.fifa.com/api/v3/picture/flags-sq-2/PRK,1175.14,1183.02,-7.88,DD,,
112,TanzaniaTAN https://api.fifa.com/api/v3/picture/flags-sq-2/TAN,1173.84,1188.24,-14.4,LL,,
113,NamibiaNAM https://api.fifa.com/api/v3/picture/flags-sq-2/NAM,1173.81,1201.3,-27.49,LL,,
114,MauritaniaMTN https://api.fifa.com/api/v3/picture/flags-sq-2/MTN,1168.44,1179.04,-10.6,LL,,
115,LebanonLBN https://api.fifa.com/api/v3/picture/flags-sq-2/LBN,1167.49,1167.49,-,DD,,
116,Guinea-BissauGNB https://api.fifa.com/api/v3/picture/flags-sq-2/GNB,1166.34,1166.02,0.32,DL,,
117,ZimbabweZIM https://api.fifa.com/api/v3/picture/flags-sq-2/ZIM,1162.48,1134.99,27.49,WW,,
118,AzerbaijanAZE https://api.fifa.com/api/v3/picture/flags-sq-2/AZE,1161.8,1173.15,-11.35,LL,,
119,VietnamVIE https://api.fifa.com/api/v3/picture/flags-sq-2/VIE,1161.11,1161.38,-0.27,DDD,,
120,CongoCGO https://api.fifa.com/api/v3/picture/flags-sq-2/CGO,1159.42,1160.33,-0.91,DL,,
121,Sierra LeoneSLE https://api.fifa.com/api/v3/picture/flags-sq-2/SLE,1149.81,1134.26,15.55,WL,,
122,LibyaLBY https://api.fifa.com/api/v3/picture/flags-sq-2/LBY,1148.7,1153.97,-5.27,LL,,
123,TogoTOG https://api.fifa.com/api/v3/picture/flags-sq-2/TOG,1147.91,1158.81,-10.9,LL,,
124,EstoniaEST https://api.fifa.com/api/v3/picture/flags-sq-2/EST,1145.52,1140.39,5.13,LW,,
125,IndiaIND https://api.fifa.com/api/v3/picture/flags-sq-2/IND,1133.78,1133.52,0.26,DDD,,
126,RwandaRWA https://api.fifa.com/api/v3/picture/flags-sq-2/RWA,1130.04,1123.32,6.72,WL,,
127,CyprusCYP https://api.fifa.com/api/v3/picture/flags-sq-2/CYP,1127.51,1137.06,-9.55,LL,,
128,The GambiaGAM https://api.fifa.com/api/v3/picture/flags-sq-2/GAM,1125.62,1109.05,16.57,WD,,
129,Central African RepublicCTA https://api.fifa.com/api/v3/picture/flags-sq-2/CTA,1125.26,1130.7,-5.44,LL,,
130,IndonesiaIDN https://api.fifa.com/api/v3/picture/flags-sq-2/IDN,1118.87,1124.17,-5.3,DD,,
131,NigerNIG https://api.fifa.com/api/v3/picture/flags-sq-2/NIG,1114.73,1132.39,-17.66,LL,,
132,NicaraguaNCA https://api.fifa.com/api/v3/picture/flags-sq-2/NCA,1114.28,1118.04,-3.76,L,,
133,MalaysiaMAS https://api.fifa.com/api/v3/picture/flags-sq-2/MAS,1113.92,1117.64,-3.72,L,,
134,MalawiMWI https://api.fifa.com/api/v3/picture/flags-sq-2/MWI,1111.16,1117.42,-6.26,LL,,
135,KuwaitKUW https://api.fifa.com/api/v3/picture/flags-sq-2/KUW,1106.42,1111.62,-5.2,DD,,
136,SurinameSUR https://api.fifa.com/api/v3/picture/flags-sq-2/SUR,1105.29,1094.39,10.9,WD,,
137,LatviaLVA https://api.fifa.com/api/v3/picture/flags-sq-2/LVA,1093.82,1097.98,-4.16,DL,,
138,Faroe IslandsFRO https://api.fifa.com/api/v3/picture/flags-sq-2/FRO,1091.52,1089.51,2.01,DD,,
139,BurundiBDI https://api.fifa.com/api/v3/picture/flags-sq-2/BDI,1089.49,1101.79,-12.3,LL,,
140,BotswanaBOT https://api.fifa.com/api/v3/picture/flags-sq-2/BOT,1088.45,1050.15,38.3,WW,,
141,LithuaniaLTU https://api.fifa.com/api/v3/picture/flags-sq-2/LTU,1082.36,1090.89,-8.53,LL,,
142,Dominican RepublicDOM https://api.fifa.com/api/v3/picture/flags-sq-2/DOM,1071.88,1057.75,14.13,WW,,
143,St Kitts and NevisSKN https://api.fifa.com/api/v3/picture/flags-sq-2/SKN,1069.25,1068.25,1,DW,,
144,TurkmenistanTKM https://api.fifa.com/api/v3/picture/flags-sq-2/TKM,1065.42,1065.42,-,D,,
145,PhilippinesPHI https://api.fifa.com/api/v3/picture/flags-sq-2/PHI,1053.09,1050.03,3.06,WL,,
146,FijiFIJ https://api.fifa.com/api/v3/picture/flags-sq-2/FIJ,1051.41,1038.29,13.12,W,,
147,Solomon IslandsSOL https://api.fifa.com/api/v3/picture/flags-sq-2/SOL,1050.99,1064.11,-13.12,L,,
148,EthiopiaETH https://api.fifa.com/api/v3/picture/flags-sq-2/ETH,1049.28,1063.44,-14.16,LL,,
149,LiberiaLBR https://api.fifa.com/api/v3/picture/flags-sq-2/LBR,1048.86,1064.97,-16.11,LL,,
150,MoldovaMDA https://api.fifa.com/api/v3/picture/flags-sq-2/MDA,1040.83,1042.81,-1.98,LW,,
151,AfghanistanAFG https://api.fifa.com/api/v3/picture/flags-sq-2/AFG,1034.37,1034.37,-,,,
152,LesothoLES https://api.fifa.com/api/v3/picture/flags-sq-2/LES,1032.79,1034.02,-1.23,LD,,
153,Puerto RicoPUR https://api.fifa.com/api/v3/picture/flags-sq-2/PUR,1021.62,1021.62,-,,,
154,YemenYEM https://api.fifa.com/api/v3/picture/flags-sq-2/YEM,1021.24,1021.24,-,,,
155,New CaledoniaNCL https://api.fifa.com/api/v3/picture/flags-sq-2/NCL,1020.83,1008.92,11.91,W,,
156,Antigua and BarbudaATG https://api.fifa.com/api/v3/picture/flags-sq-2/ATG,1020.58,1034.71,-14.13,LL,,
157,VanuatuVAN https://api.fifa.com/api/v3/picture/flags-sq-2/VAN,1015.52,1005.49,10.03,W,,
158,"Hong Kong, ChinaHKG https://api.fifa.com/api/v3/picture/flags-sq-2/HKG",1015.1,1017.66,-2.56,WL,,
159,TahitiTAH https://api.fifa.com/api/v3/picture/flags-sq-2/TAH,1009.52,1016.83,-7.31,L,,
160,EswatiniSWZ https://api.fifa.com/api/v3/picture/flags-sq-2/SWZ,1009.19,1012.17,-2.98,LD,,
161,GuyanaGUY https://api.fifa.com/api/v3/picture/flags-sq-2/GUY,1008.68,1019.99,-11.31,LL,,
162,SingaporeSGP https://api.fifa.com/api/v3/picture/flags-sq-2/SGP,1008.26,1008.26,-,,,
163,MaldivesMDV https://api.fifa.com/api/v3/picture/flags-sq-2/MDV,1003.48,1003.48,-,,,
164,St LuciaLCA https://api.fifa.com/api/v3/picture/flags-sq-2/LCA,997.86,997.86,-,,,
165,MyanmarMYA https://api.fifa.com/api/v3/picture/flags-sq-2/MYA,990.98,988.98,2,DW,,
166,CubaCUB https://api.fifa.com/api/v3/picture/flags-sq-2/CUB,990.18,991.73,-1.55,LD,,
167,BermudaBER https://api.fifa.com/api/v3/picture/flags-sq-2/BER,986.53,973.34,13.19,WW,,
168,Chinese TaipeiTPE https://api.fifa.com/api/v3/picture/flags-sq-2/TPE,985.66,991.34,-5.68,L,,
169,MaltaMLT https://api.fifa.com/api/v3/picture/flags-sq-2/MLT,980.5,971.89,8.61,WD,,
170,AndorraAND https://api.fifa.com/api/v3/picture/flags-sq-2/AND,977.96,981.7,-3.74,WL,,
171,Papua New GuineaPNG https://api.fifa.com/api/v3/picture/flags-sq-2/PNG,972.32,984.23,-11.91,L,,
172,South SudanSSD https://api.fifa.com/api/v3/picture/flags-sq-2/SSD,955.67,967.83,-12.16,LL,,
173,BarbadosBRB https://api.fifa.com/api/v3/picture/flags-sq-2/BRB,955.21,944.1,11.11,WW,,
174,St Vincent and the GrenadinesVIN https://api.fifa.com/api/v3/picture/flags-sq-2/VIN,954.86,945.8,9.06,WL,,
175,GrenadaGRN https://api.fifa.com/api/v3/picture/flags-sq-2/GRN,947.22,946.7,0.52,LD,,
176,NepalNEP https://api.fifa.com/api/v3/picture/flags-sq-2/NEP,935.93,935.93,-,,,
177,ChadCHA https://api.fifa.com/api/v3/picture/flags-sq-2/CHA,933.39,932.44,0.95,LD,,
178,MauritiusMRI https://api.fifa.com/api/v3/picture/flags-sq-2/MRI,927.57,927.57,-,,,
179,BelizeBLZ https://api.fifa.com/api/v3/picture/flags-sq-2/BLZ,925.02,913.42,11.6,WW,,
180,MontserratMSR https://api.fifa.com/api/v3/picture/flags-sq-2/MSR,924.14,924.14,-,,,
181,CambodiaCAM https://api.fifa.com/api/v3/picture/flags-sq-2/CAM,921.2,919.7,1.5,LW,,
182,BhutanBHU https://api.fifa.com/api/v3/picture/flags-sq-2/BHU,904.06,904.06,-,,,
183,DominicaDMA https://api.fifa.com/api/v3/picture/flags-sq-2/DMA,903.54,916.73,-13.19,LL,,
184,Brunei DarussalamBRU https://api.fifa.com/api/v3/picture/flags-sq-2/BRU,900.75,906.83,-6.08,DL,,
185,BangladeshBAN https://api.fifa.com/api/v3/picture/flags-sq-2/BAN,896.71,896.71,-,,,
186,SamoaSAM https://api.fifa.com/api/v3/picture/flags-sq-2/SAM,890.77,900.79,-10.02,L,,
187,LaosLAO https://api.fifa.com/api/v3/picture/flags-sq-2/LAO,889.62,889.62,-,,,
188,MongoliaMNG https://api.fifa.com/api/v3/picture/flags-sq-2/MNG,883.57,883.57,-,,,
189,American SamoaASA https://api.fifa.com/api/v3/picture/flags-sq-2/ASA,883.17,883.17,-,,,
190,São Tomé and PríncipeSTP https://api.fifa.com/api/v3/picture/flags-sq-2/STP,878.09,878.09,-,,,
191,Cook IslandsCOK https://api.fifa.com/api/v3/picture/flags-sq-2/COK,877.53,877.53,-,,,
192,DjiboutiDJI https://api.fifa.com/api/v3/picture/flags-sq-2/DJI,875.13,875.13,-,,,
193,MacauMAC https://api.fifa.com/api/v3/picture/flags-sq-2/MAC,871.52,871.52,-,,,
194,Cayman IslandsCAY https://api.fifa.com/api/v3/picture/flags-sq-2/CAY,866.71,857.37,9.34,DW,,
195,ArubaARU https://api.fifa.com/api/v3/picture/flags-sq-2/ARU,863.29,868.4,-5.11,LL,,
196,Timor-LesteTLS https://api.fifa.com/api/v3/picture/flags-sq-2/TLS,850.83,844.75,6.08,DW,,
197,GibraltarGIB https://api.fifa.com/api/v3/picture/flags-sq-2/GIB,848.32,842.4,5.92,DW,,
198,PakistanPAK https://api.fifa.com/api/v3/picture/flags-sq-2/PAK,842.59,842.59,-,,,
199,TongaTGA https://api.fifa.com/api/v3/picture/flags-sq-2/TGA,835.64,835.64,-,,,
200,LiechtensteinLIE https://api.fifa.com/api/v3/picture/flags-sq-2/LIE,834.15,827.19,6.96,DW,,
201,SeychellesSEY https://api.fifa.com/api/v3/picture/flags-sq-2/SEY,831.19,831.19,-,,,
202,SomaliaSOM https://api.fifa.com/api/v3/picture/flags-sq-2/SOM,829.81,829.81,-,,,
203,Sri LankaSRI https://api.fifa.com/api/v3/picture/flags-sq-2/SRI,829.39,831.39,-2,DL,,
204,GuamGUM https://api.fifa.com/api/v3/picture/flags-sq-2/GUM,821.91,821.91,-,,,
205,BahamasBAH https://api.fifa.com/api/v3/picture/flags-sq-2/BAH,818.58,817.25,1.33,LW,,
206,Turks and Caicos IslandsTCA https://api.fifa.com/api/v3/picture/flags-sq-2/TCA,803.98,802.81,1.17,LW,,
207,British Virgin IslandsVGB https://api.fifa.com/api/v3/picture/flags-sq-2/VGB,780.3,790.63,-10.33,LL,,
208,US Virgin IslandsVIR https://api.fifa.com/api/v3/picture/flags-sq-2/VIR,779.71,792.15,-12.44,LL,,#NAME?
209,AnguillaAIA https://api.fifa.com/api/v3/picture/flags-sq-2/AIA,769.31,782.08,-12.77,LL,,
210,San MarinoSMR https://api.fifa.com/api/v3/picture/flags-sq-2/SMR,737.04,746.05,-9.01,LL,,