Country,Year,GDP in million GBP
Scotland,2003,1272734
Scotland,2004,1333522
Scotland,2005,1413265
Scotland,2006,1466261
Scotland,2007,1530534
Scotland,2008,1572569
Scotland,2009,1535790
Scotland,2010,1609260
Scotland,2011,1669535
Scotland,2012,1697755
Scotland,2013,1749792
Scotland,2014,1829242
Scotland,2015,1874682
Scotland,2016,1944912
Scotland,2017,2060075
Scotland,2018,2123051
Scotland,2019,2231667
Scotland,2020,2058523
Scotland,2021,2299051
Scotland,2022,2540238
Scotland,2023,2701733