Country,Year,FIFA Ranking,Number of Players,Average Market Value (in Million USD),Total Market Value (in Million USD)
Argentina,2003,5.0,98.0,,
Argentina,2004,3.0,71.0,,
Argentina,2005,4.0,80.0,,
Argentina,2006,3.0,85.0,,
Argentina,2007,1.0,85.0,,
Argentina,2008,6.0,91.0,,
Argentina,2009,8.0,103.0,,
Argentina,2010,5.0,98.0,,
Argentina,2011,10.0,101.0,,
Argentina,2012,3.0,103.0,,
Argentina,2013,3.0,105.0,,
Argentina,2014,2.0,110.0,,
Argentina,2015,2.0,96.0,0.48405000000000004,637.1505
Argentina,2016,1.0,98.0,586.95,823.2840000000001
Argentina,2017,4.0,102.0,0.66045,801.0765
Argentina,2018,11.0,89.0,0.7948500000000001,969.99
Argentina,2019,9.0,78.0,0.89145,1207.5
Argentina,2020,7.0,83.0,,
Argentina,2021,5.0,74.0,0.82845,993.3315
Argentina,2022,2.0,82.0,0.6678000000000001,828.4815
Argentina,2023,,75.0,0.75915,947.268
Brazil,2003,1.0,104.0,,
Brazil,2004,1.0,107.0,,
Brazil,2005,1.0,129.0,,
Brazil,2006,1.0,123.0,0.2604,217.14000000000001
Brazil,2007,2.0,144.0,0.24465000000000003,245.85750000000002
Brazil,2008,5.0,148.0,0.29819999999999997,296.15250000000003
Brazil,2009,2.0,123.0,0.6048,555.9225000000001
Brazil,2010,4.0,115.0,0.8547,958.6815
Brazil,2011,6.0,107.0,1.03845,1123.5
Brazil,2012,18.0,120.0,1.0185,1123.5
Brazil,2013,10.0,111.0,0.87675,987.189
Brazil,2014,6.0,110.0,0.8137500000000001,847.9275
Brazil,2015,6.0,128.0,0.7150500000000001,749.7315
Brazil,2016,2.0,122.0,0.67725,732.5115000000001
Brazil,2017,2.0,117.0,1.04895,1081.5
Brazil,2018,3.0,118.0,0.9460500000000001,1081.5
Brazil,2019,3.0,126.0,1.0311000000000001,1102.5
Brazil,2020,3.0,112.0,0.8673,987.9240000000001
Brazil,2021,2.0,106.0,1.0321500000000001,1218.0
Brazil,2022,1.0,107.0,1.2075,1302.0
Brazil,2023,,107.0,1.6170000000000002,1753.5
Colombia,2003,39.0,6.0,,
Colombia,2004,26.0,8.0,,
Colombia,2005,24.0,10.0,,
Colombia,2006,34.0,10.0,,
Colombia,2007,17.0,13.0,,
Colombia,2008,49.0,12.0,,
Colombia,2009,39.0,17.0,0.0546,39.522000000000006
Colombia,2010,48.0,18.0,0.0567,46.242000000000004
Colombia,2011,36.0,21.0,0.063,52.206
Colombia,2012,5.0,19.0,0.22155,185.9865
Colombia,2013,4.0,30.0,0.21525,184.2015
Colombia,2014,3.0,25.0,0.30555,225.22500000000002
Colombia,2015,8.0,25.0,0.24465000000000003,215.25
Colombia,2016,6.0,23.0,0.23205,191.73
Colombia,2017,13.0,24.0,0.24885,215.67000000000002
Colombia,2018,12.0,24.0,0.31185,266.2275
Colombia,2019,10.0,23.0,0.31815,291.459
Colombia,2020,15.0,22.0,,
Colombia,2021,16.0,23.0,0.40635000000000004,333.8265
Colombia,2022,17.0,27.0,0.3297,275.52
Colombia,2023,,27.0,0.31395,287.60550000000006
England,2003,8.0,191.0,,
England,2004,8.0,200.0,3.696,2446.5
England,2005,9.0,197.0,3.8325,2520.0
England,2006,5.0,193.0,3.7800000000000002,2730.0
England,2007,12.0,173.0,4.494000000000001,3328.5
England,2008,8.0,189.0,5.0925,3769.5
England,2009,9.0,182.0,4.8615,3664.5
England,2010,6.0,192.0,5.25,3958.5
England,2011,5.0,195.0,5.082,3748.5
England,2012,6.0,179.0,5.418,3979.5
England,2013,13.0,164.0,5.5755,4242.0
England,2014,13.0,227.0,5.932500000000001,4420.5
England,2015,9.0,222.0,6.426,5103.0
England,2016,13.0,223.0,7.896,6174.0
England,2017,15.0,215.0,11.518500000000001,8484.0
England,2018,5.0,209.0,13.377,10300.5
England,2019,4.0,241.0,11.245500000000002,8715.0
England,2020,4.0,257.0,12.022499999999999,9618.0
England,2021,4.0,283.0,12.18,9807.0
England,2022,5.0,271.0,14.143500000000001,1188.6000000000001
England,2023,,304.0,15.015,1283.1000000000001
France,2003,2.0,365.0,,
France,2004,2.0,330.0,1.7535,1092.0
France,2005,5.0,329.0,2.016,1333.5
France,2006,4.0,311.0,2.2575,1491.0
France,2007,7.0,325.0,2.4255,1585.5
France,2008,11.0,335.0,2.3835,1543.5
France,2009,7.0,310.0,2.562,1669.5
France,2010,18.0,315.0,2.52,1680.0
France,2011,15.0,309.0,2.4255,1669.5
France,2012,17.0,316.0,2.415,1701.0
France,2013,20.0,298.0,2.52,1837.5
France,2014,7.0,346.0,2.583,1722.0
France,2015,25.0,383.0,2.709,1879.5
France,2016,7.0,369.0,3.003,2247.0
France,2017,9.0,343.0,5.3445,3654.0
France,2018,2.0,368.0,5.596500000000001,4221.0
France,2019,2.0,357.0,5.3549999999999995,3580.5
France,2020,2.0,410.0,5.838,4221.0
France,2021,3.0,416.0,5.691,4420.5
France,2022,3.0,423.0,5.985,4525.5
France,2023,,383.0,6.573,4588.5
Germany,2003,12.0,226.0,,
Germany,2004,19.0,214.0,1.9949999999999999,1144.5
Germany,2005,16.0,231.0,2.1734999999999998,1270.5
Germany,2006,6.0,223.0,2.4045,1365.0
Germany,2007,5.0,212.0,2.541,1554.0
Germany,2008,2.0,202.0,2.9085,1753.5
Germany,2009,6.0,204.0,3.045,1869.0
Germany,2010,3.0,214.0,3.4965,2026.5
Germany,2011,3.0,223.0,3.3495,2016.0
Germany,2012,2.0,229.0,3.6435000000000004,2173.5
Germany,2013,2.0,254.0,4.053,2520.0
Germany,2014,1.0,272.0,4.557,2614.5
Germany,2015,4.0,274.0,4.683,2814.0
Germany,2016,3.0,268.0,4.704000000000001,3024.0
Germany,2017,1.0,268.0,6.9719999999999995,4189.5
Germany,2018,16.0,258.0,8.0955,5124.0
Germany,2019,15.0,282.0,7.3709999999999996,4693.5
Germany,2020,13.0,264.0,8.0535,5040.0
Germany,2021,12.0,285.0,7.0455000000000005,4567.5
Germany,2022,14.0,287.0,7.581,4893.0
Germany,2023,,295.0,8.19,5145.0
Indonesia,2003,91.0,,,
Indonesia,2004,91.0,,,
Indonesia,2005,109.0,,,
Indonesia,2006,153.0,,,
Indonesia,2007,133.0,,,
Indonesia,2008,139.0,,0.026250000000000002,2.3415
Indonesia,2009,120.0,1.0,0.00945,1.02375
Indonesia,2010,127.0,1.0,0.02835,4.8825
Indonesia,2011,142.0,1.0,0.00945,5.3340000000000005
Indonesia,2012,156.0,1.0,,
Indonesia,2013,161.0,1.0,0.008400000000000001,4.4625
Indonesia,2014,159.0,1.0,0.007350000000000001,4.2315000000000005
Indonesia,2015,179.0,1.0,,
Indonesia,2016,171.0,2.0,0.0126,6.1425
Indonesia,2017,162.0,1.0,0.0924,57.729
Indonesia,2018,159.0,2.0,0.08505,51.481500000000004
Indonesia,2019,173.0,1.0,0.11970000000000001,80.35650000000001
Indonesia,2020,173.0,,0.1113,63.0
Indonesia,2021,164.0,,0.11445000000000001,109.1895
Indonesia,2022,151.0,,0.12285000000000001,110.397
Indonesia,2023,,1.0,0.1281,96.28500000000001
Italy,2003,10.0,318.0,,
Italy,2004,10.0,374.0,2.5725000000000002,2005.5
Italy,2005,12.0,382.0,2.4885,2026.5
Italy,2006,2.0,388.0,2.3939999999999997,2026.5
Italy,2007,3.0,351.0,2.8665000000000003,2352.0
Italy,2008,4.0,352.0,3.3285,2551.5
Italy,2009,4.0,330.0,3.3285,2845.5
Italy,2010,14.0,295.0,3.2445,2740.5
Italy,2011,9.0,297.0,3.045,2478.0
Italy,2012,4.0,286.0,3.0555000000000003,2709.0
Italy,2013,7.0,277.0,2.8665000000000003,3118.5
Italy,2014,11.0,361.0,3.4755000000000003,2929.5
Italy,2015,15.0,358.0,3.8430000000000004,3129.0
Italy,2016,16.0,382.0,4.1475,3622.5
Italy,2017,14.0,349.0,5.838,4819.5
Italy,2018,18.0,326.0,5.313,6216.0
Italy,2019,13.0,328.0,6.7620000000000005,5239.5
Italy,2020,10.0,344.0,6.8775,5712.0
Italy,2021,6.0,357.0,6.6255,5565.0
Italy,2022,8.0,327.0,6.7410000000000005,5397.0
Italy,2023,,320.0,6.846,5680.5
Mexico,2003,7.0,3.0,,
Mexico,2004,7.0,2.0,0.15225,90.3525
Mexico,2005,5.0,4.0,0.1239,77.385
Mexico,2006,20.0,5.0,0.14700000000000002,101.85000000000001
Mexico,2007,15.0,9.0,0.67515,492.534
Mexico,2008,26.0,9.0,0.9618000000000001,674.5725000000001
Mexico,2009,17.0,9.0,0.9807000000000001,643.0305
Mexico,2010,27.0,7.0,0.9397500000000001,585.3645
Mexico,2011,21.0,9.0,0.92715,585.0075
Mexico,2012,15.0,8.0,0.78645,642.3375
Mexico,2013,21.0,9.0,0.7329,628.4775
Mexico,2014,20.0,9.0,0.8778,689.9865
Mexico,2015,22.0,8.0,0.9145500000000001,733.5615
Mexico,2016,18.0,7.0,0.924,742.119
Mexico,2017,16.0,7.0,1.02795,785.7465000000001
Mexico,2018,17.0,10.0,1.2285,1019.5815
Mexico,2019,11.0,7.0,1.2285,963.564
Mexico,2020,9.0,7.0,1.3230000000000002,1006.9290000000001
Mexico,2021,14.0,11.0,1.4280000000000002,1060.5
Mexico,2022,15.0,7.0,1.47,1260.0
Mexico,2023,,9.0,1.4595,1239.0
Netherlands,2003,4.0,35.0,,
Netherlands,2004,6.0,31.0,1.0605,573.9929999999999
Netherlands,2005,3.0,37.0,1.1340000000000001,607.4985
Netherlands,2006,7.0,37.0,1.1130000000000002,616.0875
Netherlands,2007,9.0,29.0,1.2705,676.9350000000001
Netherlands,2008,3.0,34.0,1.3230000000000002,761.439
Netherlands,2009,3.0,30.0,1.3335000000000001,750.939
Netherlands,2010,2.0,34.0,1.3230000000000002,767.2139999999999
Netherlands,2011,2.0,35.0,1.2915,734.1075
Netherlands,2012,8.0,30.0,1.281,768.9465000000001
Netherlands,2013,9.0,34.0,1.1550000000000002,696.969
Netherlands,2014,5.0,33.0,1.1235000000000002,644.9100000000001
Netherlands,2015,14.0,41.0,1.2495,725.8125
Netherlands,2016,22.0,41.0,1.3860000000000001,876.3090000000001
Netherlands,2017,20.0,50.0,1.6275000000000002,990.57
Netherlands,2018,14.0,48.0,2.1315,1365.0
Netherlands,2019,14.0,56.0,1.9320000000000002,1218.0
Netherlands,2020,14.0,70.0,1.9530000000000003,1260.0
Netherlands,2021,10.0,78.0,1.9320000000000002,1291.5
Netherlands,2022,6.0,67.0,2.499,1627.5
Netherlands,2023,,62.0,2.6670000000000003,1732.5
Poland,2003,25.0,12.0,,
Poland,2004,25.0,17.0,0.47985000000000005,210.105
Poland,2005,22.0,16.0,0.4242,229.64550000000003
Poland,2006,24.0,18.0,0.41265,227.535
Poland,2007,22.0,19.0,0.39585000000000004,213.3075
Poland,2008,34.0,16.0,0.40005,211.4175
Poland,2009,58.0,16.0,0.441,241.899
Poland,2010,73.0,18.0,0.47355,252.0525
Poland,2011,66.0,17.0,0.4326,236.145
Poland,2012,55.0,19.0,0.3696,209.63250000000002
Poland,2013,76.0,25.0,0.32235,199.68900000000002
Poland,2014,41.0,25.0,0.30555,175.56
Poland,2015,34.0,22.0,0.32445,180.7365
Poland,2016,15.0,30.0,0.3633,218.97750000000002
Poland,2017,7.0,30.0,0.34650000000000003,208.404
Poland,2018,20.0,29.0,0.40530000000000005,263.2875
Poland,2019,19.0,30.0,0.3486,218.505
Poland,2020,19.0,36.0,0.50715,307.10400000000004
Poland,2021,27.0,38.0,0.48195000000000005,347.47650000000004
Poland,2022,22.0,43.0,0.46095,309.939
Poland,2023,,37.0,0.49665,333.48
Portugal,2003,17.0,29.0,,
Portugal,2004,9.0,31.0,1.1655000000000002,622.629
Portugal,2005,10.0,36.0,1.0815000000000001,597.7125
Portugal,2006,8.0,38.0,1.1235000000000002,552.72
Portugal,2007,8.0,39.0,1.281,634.8615
Portugal,2008,11.0,37.0,1.3335000000000001,682.71
Portugal,2009,5.0,34.0,1.344,797.895
Portugal,2010,8.0,32.0,1.7010000000000003,894.705
Portugal,2011,7.0,37.0,1.8900000000000001,1024.5375000000001
Portugal,2012,7.0,44.0,2.0475,1113.0
Portugal,2013,5.0,41.0,1.827,1015.665
Portugal,2014,7.0,44.0,1.7010000000000003,1071.0
Portugal,2015,7.0,45.0,1.722,1102.5
Portugal,2016,8.0,50.0,1.7955,1186.5
Portugal,2017,3.0,45.0,2.0475,1249.5
Portugal,2018,6.0,54.0,2.1945,1449.0
Portugal,2019,7.0,58.0,1.806,1165.5
Portugal,2020,5.0,69.0,2.4885,1575.0
Portugal,2021,8.0,61.0,2.499,1743.0
Portugal,2022,9.0,76.0,2.6565,1795.5
Portugal,2023,,71.0,2.8979999999999997,1911.0
Qatar,2003,65.0,1.0,,
Qatar,2004,66.0,,,
Qatar,2005,95.0,,,
Qatar,2006,58.0,,,
Qatar,2007,87.0,1.0,,
Qatar,2008,84.0,1.0,,
Qatar,2009,86.0,,,
Qatar,2010,112.0,,,
Qatar,2011,93.0,,0.1302,59.43000000000001
Qatar,2012,98.0,1.0,0.2436,97.7865
Qatar,2013,103.0,1.0,0.25935,129.969
Qatar,2014,95.0,1.0,0.29400000000000004,155.69400000000002
Qatar,2015,86.0,,0.33390000000000003,161.3745
Qatar,2016,87.0,1.0,0.27930000000000005,140.91
Qatar,2017,102.0,,0.24885,126.084
Qatar,2018,93.0,,0.39585000000000004,185.1675
Qatar,2019,55.0,,0.41265,189.18900000000002
Qatar,2020,58.0,,0.3927,211.7115
Qatar,2021,48.0,,0.39480000000000004,185.37750000000003
Qatar,2022,60.0,,0.36119999999999997,168.31500000000003
Qatar,2023,,,0.64785,305.5605
Saudi Arabia,2003,26.0,,,
Saudi Arabia,2004,28.0,,0.042,13.629000000000001
Saudi Arabia,2005,33.0,,0.1092,36.54
Saudi Arabia,2006,64.0,,0.11025,36.5925
Saudi Arabia,2007,61.0,,0.06825,23.131500000000003
Saudi Arabia,2008,48.0,,0.1008,43.3965
Saudi Arabia,2009,63.0,,0.21000000000000002,80.493
Saudi Arabia,2010,80.0,,0.3045,145.929
Saudi Arabia,2011,96.0,,0.2877,159.894
Saudi Arabia,2012,126.0,,0.252,132.699
Saudi Arabia,2013,87.0,,0.2331,119.8365
Saudi Arabia,2014,102.0,,0.2205,124.005
Saudi Arabia,2015,80.0,,0.21315000000000003,109.67250000000001
Saudi Arabia,2016,54.0,,0.32865,177.24
Saudi Arabia,2017,63.0,2.0,0.41475000000000006,217.53900000000002
Saudi Arabia,2018,69.0,,0.7077000000000001,442.75350000000003
Saudi Arabia,2019,67.0,,0.6489,395.58750000000003
Saudi Arabia,2020,67.0,,0.6646500000000001,403.25250000000005
Saudi Arabia,2021,51.0,,0.5848500000000001,388.81500000000005
Saudi Arabia,2022,49.0,,0.6699,367.332
Saudi Arabia,2023,,,1.533,1017.4185000000001
Scotland,2003,54.0,28.0,,
Scotland,2004,86.0,20.0,0.5880000000000001,245.1225
Scotland,2005,60.0,21.0,0.6258,277.80899999999997
Scotland,2006,25.0,21.0,0.6415500000000001,293.9475
Scotland,2007,14.0,16.0,0.7087500000000001,321.9615
Scotland,2008,33.0,8.0,0.8694,373.716
Scotland,2009,46.0,22.0,0.8305500000000001,368.109
Scotland,2010,52.0,21.0,0.64995,289.359
Scotland,2011,47.0,21.0,0.5596500000000001,256.1265
Scotland,2012,72.0,20.0,0.41790000000000005,179.84400000000002
Scotland,2013,34.0,20.0,0.42105000000000004,170.04749999999999
Scotland,2014,36.0,19.0,0.40005,171.60150000000002
Scotland,2015,52.0,19.0,0.3906,169.239
Scotland,2016,67.0,21.0,0.38745,180.9675
Scotland,2017,34.0,14.0,0.4662,211.50150000000002
Scotland,2018,38.0,12.0,0.5838000000000001,328.629
Scotland,2019,50.0,20.0,0.60795,284.96999999999997
Scotland,2020,48.0,22.0,0.8095500000000001,370.1565
Scotland,2021,38.0,29.0,0.89985,449.757
Scotland,2022,42.0,27.0,0.91035,432.39000000000004
Scotland,2023,,25.0,0.92295,442.3125
South Korea,2003,22.0,2.0,,
South Korea,2004,22.0,1.0,,
South Korea,2005,29.0,6.0,,
South Korea,2006,51.0,5.0,,
South Korea,2007,42.0,5.0,0.0504,27.321
South Korea,2008,42.0,6.0,0.0966,53.8965
South Korea,2009,52.0,7.0,0.063,36.75
South Korea,2010,40.0,7.0,0.07245000000000001,45.675000000000004
South Korea,2011,32.0,8.0,0.1323,90.909
South Korea,2012,35.0,8.0,0.1827,122.04150000000001
South Korea,2013,54.0,9.0,0.25095,138.1065
South Korea,2014,69.0,9.0,0.336,158.1825
South Korea,2015,51.0,9.0,0.32655,155.169
South Korea,2016,37.0,7.0,0.3024,140.805
South Korea,2017,60.0,9.0,0.2772,131.334
South Korea,2018,53.0,10.0,0.24045000000000002,121.38
South Korea,2019,40.0,9.0,0.3087,163.69500000000002
South Korea,2020,38.0,9.0,0.29295000000000004,139.2615
South Korea,2021,33.0,8.0,0.38115,178.9725
South Korea,2022,25.0,6.0,0.35805000000000003,171.57000000000002
South Korea,2023,,8.0,0.036855,182.65800000000002
Spain,2003,3.0,361.0,,
Spain,2004,5.0,398.0,2.7510000000000003,1753.5
Spain,2005,5.0,368.0,3.108,1953.0
Spain,2006,12.0,337.0,3.7485,2362.5
Spain,2007,4.0,351.0,4.3365,2719.5
Spain,2008,1.0,351.0,4.452000000000001,2782.5
Spain,2009,1.0,365.0,4.4205000000000005,2835.0
Spain,2010,1.0,366.0,4.483499999999999,2877.0
Spain,2011,1.0,371.0,4.357500000000001,2919.0
Spain,2012,1.0,367.0,4.494000000000001,2887.5
Spain,2013,1.0,362.0,4.5255,2929.5
Spain,2014,9.0,415.0,5.1765,3286.5
Spain,2015,3.0,419.0,5.691,3643.5
Spain,2016,10.0,408.0,6.426,4242.0
Spain,2017,6.0,413.0,8.001000000000001,5386.5
Spain,2018,9.0,416.0,9.575999999999999,6489.0
Spain,2019,8.0,475.0,8.0955,5701.5
Spain,2020,6.0,520.0,7.476000000000001,5481.0
Spain,2021,7.0,535.0,7.014,5491.5
Spain,2022,10.0,498.0,7.2765,5523.0
Spain,2023,,496.0,7.6335,5911.5
Switzerland,2003,44.0,15.0,,
Switzerland,2004,51.0,20.0,0.5953499999999999,174.90900000000002
Switzerland,2005,35.0,27.0,0.60165,180.6
Switzerland,2006,17.0,25.0,0.53445,166.068
Switzerland,2007,44.0,26.0,0.61425,199.68900000000002
Switzerland,2008,24.0,27.0,0.59955,192.9375
Switzerland,2009,18.0,27.0,0.5984999999999999,201.18
Switzerland,2010,22.0,26.0,0.5848500000000001,187.6875
Switzerland,2011,17.0,25.0,0.72765,248.0625
Switzerland,2012,12.0,25.0,0.6919500000000001,229.005
Switzerland,2013,8.0,31.0,0.7287,254.394
Switzerland,2014,12.0,31.0,0.8095500000000001,261.345
Switzerland,2015,12.0,41.0,0.9555000000000001,322.9275
Switzerland,2016,11.0,40.0,0.8043,280.71750000000003
Switzerland,2017,8.0,40.0,0.9807000000000001,351.12
Switzerland,2018,8.0,33.0,1.02165,390.2325
Switzerland,2019,12.0,34.0,0.79695,306.73650000000004
Switzerland,2020,16.0,42.0,0.85995,305.13000000000005
Switzerland,2021,13.0,38.0,1.01535,391.96500000000003
Switzerland,2022,12.0,29.0,1.01955,377.4225
Switzerland,2023,,36.0,1.0710000000000002,501.3225
Turkey,2003,8.0,15.0,,
Turkey,2004,14.0,12.0,1.3125,776.1285
Turkey,2005,11.0,14.0,1.0227,658.8435000000001
Turkey,2006,26.0,9.0,1.3965,845.061
Turkey,2007,16.0,12.0,1.2915,856.3275
Turkey,2008,10.0,18.0,1.26,790.8915000000001
Turkey,2009,41.0,13.0,1.26,848.7675
Turkey,2010,31.0,12.0,1.4595,953.379
Turkey,2011,28.0,17.0,1.6695000000000002,1021.419
Turkey,2012,40.0,15.0,1.5750000000000002,1033.4415000000001
Turkey,2013,43.0,15.0,1.5645,1144.5
Turkey,2014,49.0,15.0,1.722,1071.0
Turkey,2015,21.0,16.0,1.7535,1176.0
Turkey,2016,24.0,17.0,1.302,894.894
Turkey,2017,42.0,17.0,1.1340000000000001,751.6215000000001
Turkey,2018,39.0,21.0,1.0710000000000002,773.3565
Turkey,2019,29.0,19.0,0.95235,681.0090000000001
Turkey,2020,32.0,23.0,1.1864999999999999,1011.8850000000001
Turkey,2021,37.0,21.0,1.3860000000000001,1144.5
Turkey,2022,,19.0,1.6065,1260.0
Turkey,2023,,16.0,1.533,1323.0
United States,2003,11.0,11.0,,
United States,2004,11.0,14.0,,
United States,2005,8.0,11.0,,
United States,2006,31.0,20.0,0.08085,37.642500000000005
United States,2007,19.0,17.0,0.22995000000000002,123.9315
United States,2008,22.0,13.0,0.2667,160.7865
United States,2009,14.0,17.0,0.2541,156.03
United States,2010,18.0,18.0,0.34335000000000004,188.055
United States,2011,34.0,19.0,0.3675,272.86350000000004
United States,2012,28.0,16.0,0.41475000000000006,306.63149999999996
United States,2013,14.0,15.0,0.39795,297.57
United States,2014,27.0,16.0,0.44205,283.1535
United States,2015,32.0,16.0,0.5397000000000001,378.588
United States,2016,28.0,15.0,0.5523,354.03900000000004
United States,2017,24.0,16.0,0.5628000000000001,461.769
United States,2018,25.0,22.0,0.72975,575.2215000000001
United States,2019,22.0,18.0,0.80745,652.869
United States,2020,22.0,19.0,0.9974999999999999,838.0050000000001
United States,2021,11.0,32.0,1.1130000000000002,916.545
United States,2022,13.0,26.0,1.302,1186.5
United States,2023,,27.0,1.3755000000000002,1365.0
